Amp: Atomistic Machine-learning Package
Developed by Andrew Peterson, Alireza Khorshidi, and others,
Brown University.
 PI Website: http://brown.edu/go/catalyst
 Official repository: http://bitbucket.org/andrewpeterson/amp
 Official documentation: http://amp.readthedocs.org/
======================================================================
User: jboes
Hostname: gilgamesh.cheme.cmu.edu
Date: 2016-06-27T16:00:27
Architecture: x86_64
PID: 5620
Version: 0.4
Python: v2.7.6: /opt/kitchingroup/CANOPY/Canopy_64bit/User/bin/python
Amp: /home-research/jboes/python/amp
ASE v3.11.0: /home-research/jboes/python/ase/ase
NumPy v1.8.1: /opt/kitchingroup/CANOPY/Canopy_64bit/User/lib/python2.7/site-packages/numpy
SciPy v0.14.0: /opt/kitchingroup/CANOPY/Canopy_64bit/User/lib/python2.7/site-packages/scipy
======================================================================
Amp training started. 2016-06-27T16:00:27

Local environment descriptor: Gaussian
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 49 images.
Hashing images...
 49 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: Pd
Symmetry functions for each element:
 Pd: 8
Hidden-layer structure:
 Pd: [2, 2]
Initial weights already present.
Initial scalings already present.
Calculating atomic fingerprints...
 Saved fingerprints file networks/fingerprints.db loaded with 49 entries. 0.0 min.
 Calculating 0 of 49 fingerprints (49 exist in file).
 ...all fingerprint operations complete. 0.0 min.
Updated fingerprints range from saved version; this is a temporary bug fix. With this the first iteration of the training neural network will *not* give identical results to the saved version if the fingerprints_range has changed.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file networks/db0/2-2/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-06-27T16:00:27  5.690e+01    1.078e+00
    1        2016-06-27T16:00:27  1.004e+04    1.432e+01
    2        2016-06-27T16:00:27  1.539e+03    5.605e+00
    3        2016-06-27T16:00:27  5.987e+02    3.496e+00
    4        2016-06-27T16:00:27  4.011e+02    2.861e+00
    5        2016-06-27T16:00:27  7.058e+01    1.200e+00
    6        2016-06-27T16:00:27  4.993e+01    1.009e+00
    7        2016-06-27T16:00:27  3.815e+01    8.824e-01
    8        2016-06-27T16:00:27  2.298e+01    6.848e-01
    9        2016-06-27T16:00:27  2.719e+01    7.449e-01
   10        2016-06-27T16:00:27  1.637e+01    5.781e-01
   11        2016-06-27T16:00:28  1.121e+01    4.783e-01
   12        2016-06-27T16:00:28  2.829e+01    7.599e-01
   13        2016-06-27T16:00:28  1.009e+01    4.538e-01
   14        2016-06-27T16:00:28  8.733e+00    4.222e-01
   15        2016-06-27T16:00:28  7.487e+00    3.909e-01
   16        2016-06-27T16:00:28  5.704e+00    3.412e-01
   17        2016-06-27T16:00:28  3.347e+00    2.614e-01
   18        2016-06-27T16:00:28  1.799e+01    6.059e-01
   19        2016-06-27T16:00:28  2.995e+00    2.472e-01
   20        2016-06-27T16:00:28  2.509e+00    2.263e-01
   21        2016-06-27T16:00:28  2.038e+00    2.039e-01
   22        2016-06-27T16:00:28  1.330e+00    1.647e-01
   23        2016-06-27T16:00:28  1.623e+00    1.820e-01
   24        2016-06-27T16:00:28  9.681e-01    1.406e-01
   25        2016-06-27T16:00:28  5.924e-01    1.100e-01
   26        2016-06-27T16:00:28  9.606e-01    1.400e-01
   27        2016-06-27T16:00:28  4.129e-01    9.180e-02
   28        2016-06-27T16:00:28  1.790e-01    6.045e-02
   29        2016-06-27T16:00:28  6.773e-01    1.176e-01
   30        2016-06-27T16:00:29  1.302e-01    5.155e-02
   31        2016-06-27T16:00:29  1.147e-01    4.839e-02
   32        2016-06-27T16:00:29  1.004e-01    4.525e-02
   33        2016-06-27T16:00:29  9.187e-02    4.330e-02
   34        2016-06-27T16:00:29  7.985e-02    4.037e-02
   35        2016-06-27T16:00:29  6.087e-02    3.525e-02
   36        2016-06-27T16:00:29  3.837e-02    2.798e-02
   37        2016-06-27T16:00:29  2.846e-02    2.410e-02
   38        2016-06-27T16:00:29  2.524e-02    2.270e-02
   39        2016-06-27T16:00:29  2.192e-02    2.115e-02
   40        2016-06-27T16:00:29  1.864e-02    1.951e-02
   41        2016-06-27T16:00:29  1.337e-02    1.652e-02
   42        2016-06-27T16:00:29  1.096e-02    1.495e-02
   43        2016-06-27T16:00:29  7.230e-03    1.215e-02
   44        2016-06-27T16:00:29  4.852e-03    9.951e-03
   45        2016-06-27T16:00:29  5.933e-03    1.100e-02
   46        2016-06-27T16:00:29  4.145e-03    9.197e-03
